#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_v2        l2_rho_v3        l2_rho_e         linf_rho         linf_rho_v1      linf_rho_v2      linf_rho_v3      linf_rho_e       dsdu_ut          e_kinetic        e_total          entropy          pressure      
     2600  3.18545120e-01  1.22416625e-04   2.86461068e-04   2.01761966e-02   2.01761966e-02   2.81612570e-02   3.64565863e-02   1.30735664e-03   6.60670634e-02   6.60670634e-02   8.26606476e-02   1.85318405e-01  -3.13504842e-17   1.24999352e-01   1.78696429e+02  -1.06717404e+01   7.14285717e+01
     2700  3.30785934e-01  1.22401081e-04   2.48685445e-04   2.09565488e-02   2.09565488e-02   2.92335136e-02   2.45252106e-02   1.18022685e-03   6.90282934e-02   6.90282934e-02   8.59105117e-02   1.46394788e-01  -5.30495886e-17   1.25000615e-01   1.78696429e+02  -1.06717404e+01   7.14285712e+01
     2800  3.43025613e-01  1.22394056e-04   2.30876374e-04   2.17317316e-02   2.17317316e-02   3.02928820e-02   2.08291824e-02   9.71955683e-04   7.17635514e-02   7.17635514e-02   8.88077777e-02   8.81150268e-02  -1.05775731e-17   1.25001432e-01   1.78696429e+02  -1.06717404e+01   7.14285709e+01
     2900  3.55265015e-01  1.22395101e-04   2.33746905e-04   2.25016729e-02   2.25016729e-02   3.13391460e-02   2.85466462e-02   1.02045241e-03   7.41308662e-02   7.41308662e-02   9.14325802e-02   1.48194529e-01   2.37894863e-17   1.25001628e-01   1.78696429e+02  -1.06717404e+01   7.14285708e+01
     3000  3.67504790e-01  1.22400712e-04   2.40028869e-04   2.32703820e-02   2.32703820e-02   3.23737778e-02   3.72543400e-02   1.09624542e-03   7.60289912e-02   7.60289912e-02   9.50357549e-02   1.86856731e-01  -3.34784012e-17   1.25001513e-01   1.78696429e+02  -1.06717404e+01   7.14285708e+01
     3100  3.79745150e-01  1.22405965e-04   2.35380961e-04   2.40418686e-02   2.40418686e-02   3.34000159e-02   4.29893993e-02   1.18416520e-03   7.74561501e-02   7.74561501e-02   9.85093297e-02   2.16763915e-01  -7.23208777e-17   1.25001556e-01   1.78696429e+02  -1.06717404e+01   7.14285708e+01
     3200  3.91985829e-01  1.22406577e-04   2.17380967e-04   2.48173932e-02   2.48173932e-02   3.44229387e-02   4.62871699e-02   1.15990128e-03   7.85436786e-02   7.85436786e-02   1.01690699e-01   2.52647062e-01   4.09520357e-17   1.25002050e-01   1.78696429e+02  -1.06717404e+01   7.14285706e+01
     3300  4.04226234e-01  1.22400410e-04   1.92973212e-04   2.55956791e-02   2.55956791e-02   3.54490439e-02   4.84110487e-02   1.10327760e-03   7.95378868e-02   7.95378868e-02   1.04524309e-01   2.43980168e-01  -2.20756572e-17   1.25002996e-01   1.78696429e+02  -1.06717404e+01   7.14285702e+01
     3400  4.16465685e-01  1.22387804e-04   1.75025150e-04   2.63747540e-02   2.63747540e-02   3.64848952e-02   4.94511221e-02   1.05514432e-03   8.07295281e-02   8.07295281e-02   1.07080036e-01   1.91295565e-01   4.58426335e-17   1.25004184e-01   1.78696429e+02  -1.06717404e+01   7.14285698e+01
     3500  4.28703634e-01  1.22370856e-04   1.78876681e-04   2.71534762e-02   2.71534762e-02   3.75351804e-02   4.83356720e-02   9.41874915e-04   8.23598025e-02   8.23598025e-02   1.09520029e-01   1.26352654e-01  -3.11546680e-17   1.25005368e-01   1.78696429e+02  -1.06717404e+01   7.14285693e+01
     3600  4.40939784e-01  1.22352272e-04   2.13317500e-04   2.79314610e-02   2.79314610e-02   3.86011469e-02   4.42742180e-02   1.11716627e-03   8.45446646e-02   8.45446646e-02   1.12761797e-01   1.30093618e-01   1.66782539e-18   1.25006373e-01   1.78696429e+02  -1.06717404e+01   7.14285689e+01
     3700  4.53174098e-01  1.22334505e-04   2.74296434e-04   2.87075983e-02   2.87075983e-02   3.96802144e-02   3.84053196e-02   1.59270449e-03   8.72474517e-02   8.72474517e-02   1.16354227e-01   1.64248404e-01   2.74571068e-17   1.25007092e-01   1.78696429e+02  -1.06717404e+01   7.14285686e+01
     3800  4.65406761e-01  1.22319494e-04   3.51069703e-04   2.94791495e-02   2.94791495e-02   4.07669207e-02   3.49157505e-02   1.95267725e-03   9.03035190e-02   9.03035190e-02   1.19844655e-01   2.26891050e-01   1.23646147e-17   1.25007429e-01   1.78696429e+02  -1.06717404e+01   7.14285685e+01
