#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_v2        l2_rho_v3        l2_rho_theta     linf_rho         linf_rho_v1      linf_rho_v2      linf_rho_v3      linf_rho_theta   dsdu_ut          energy_kinetic   entropy          entropy_phys     pressurecompute
     2900  3.53712264e+00  1.21137843e-03   1.16857131e-03   1.11489712e-01   1.11489712e-01   1.39518919e-01   1.04157704e-03   5.14291549e-03   3.17358422e-01   3.17358422e-01   4.80444067e-01   3.82267980e-03   9.00756400e-16   1.25052120e-01   1.78536441e+02  -1.06638059e+01   7.14143218e+01
     3000  3.65827577e+00  1.21098497e-03   1.25010316e-03   1.13466637e-01   1.13466637e-01   1.45337972e-01   2.90846355e-03   5.43967730e-03   3.32230378e-01   3.32230378e-01   4.98921222e-01   9.51988413e-03   2.20060507e-15   1.25084896e-01   1.78536441e+02  -1.06638067e+01   7.14143086e+01
     3100  3.77933172e+00  1.21022396e-03   1.18472117e-03   1.18413235e-01   1.18413235e-01   1.46723076e-01   7.20136970e-04   5.24683236e-03   3.49210097e-01   3.49210097e-01   5.05194066e-01   2.95474704e-03   2.65013488e-15   1.25033407e-01   1.78536441e+02  -1.06638056e+01   7.14143293e+01
     3200  3.90037067e+00  1.21050931e-03   1.23690026e-03   1.20883035e-01   1.20883035e-01   1.51719875e-01   2.23991382e-03   5.35935806e-03   3.52061939e-01   3.52061939e-01   5.16548519e-01   8.55973568e-03   4.65795756e-15   1.25082511e-01   1.78536441e+02  -1.06638065e+01   7.14143096e+01
     3300  4.02137878e+00  1.20987656e-03   1.16874763e-03   1.25140492e-01   1.25140492e-01   1.53597198e-01   2.15273300e-03   4.94929704e-03   3.74104909e-01   3.74104909e-01   5.29215084e-01   5.93038744e-03   3.29828660e-15   1.25080596e-01   1.78536441e+02  -1.06638062e+01   7.14143104e+01
     3400  4.14232274e+00  1.20951756e-03   1.26909696e-03   1.28180659e-01   1.28180659e-01   1.57433157e-01   1.22426176e-03   5.40073800e-03   3.79197528e-01   3.79197528e-01   5.46592681e-01   5.50993702e-03   5.31396990e-15   1.25036097e-01   1.78536441e+02  -1.06638058e+01   7.14143282e+01
     3500  4.26327431e+00  1.20960435e-03   1.21873955e-03   1.31472814e-01   1.31472814e-01   1.60257694e-01   2.79715296e-03   4.89581145e-03   3.90983975e-01   3.90983975e-01   5.64403857e-01   7.17203737e-03   3.51885959e-15   1.25080997e-01   1.78536441e+02  -1.06638063e+01   7.14143102e+01
     3600  4.38419297e+00  1.20856628e-03   1.24096771e-03   1.35287950e-01   1.35287950e-01   1.62616418e-01   1.53615392e-03   5.21861999e-03   4.09685988e-01   4.09685988e-01   5.82779146e-01   6.38087680e-03   5.89633436e-15   1.25063908e-01   1.78536441e+02  -1.06638061e+01   7.14143170e+01
     3700  4.50508341e+00  1.20906866e-03   1.19537086e-03   1.37859238e-01   1.37859238e-01   1.66453740e-01   1.39338508e-03   4.84195211e-03   4.11419569e-01   4.11419569e-01   6.02374924e-01   4.50495170e-03   4.30948160e-15   1.25068186e-01   1.78536441e+02  -1.06638060e+01   7.14143153e+01
     3800  4.62600932e+00  1.20869361e-03   1.27783951e-03   1.42056721e-01   1.42056721e-01   1.67385713e-01   2.88757798e-03   5.08130334e-03   4.31332014e-01   4.31332014e-01   6.16140153e-01   9.71393746e-03   5.12873474e-15   1.25085998e-01   1.78536441e+02  -1.06638066e+01   7.14143082e+01
     3900  4.74688785e+00  1.20879259e-03   1.23920579e-03   1.44209666e-01   1.44209666e-01   1.71819141e-01   8.59294033e-04   5.05981751e-03   4.38109762e-01   4.38109762e-01   6.42552308e-01   3.52301448e-03   5.81166045e-15   1.25035818e-01   1.78536441e+02  -1.06638057e+01   7.14143283e+01
     4000  4.86780091e+00  1.20938531e-03   1.24738372e-03   1.48767236e-01   1.48767236e-01   1.71846432e-01   2.56463214e-03   5.01935634e-03   4.45991255e-01   4.45991255e-01   6.49723638e-01   9.02909981e-03   5.23090011e-15   1.25084141e-01   1.78536441e+02  -1.06638065e+01   7.14143089e+01
     4100  4.98872801e+00  1.20928391e-03   1.21582887e-03   1.50642200e-01   1.50642200e-01   1.76317842e-01   2.04985738e-03   5.13261336e-03   4.60822886e-01   4.60822886e-01   6.79663596e-01   7.39561512e-03   5.70955365e-15   1.25082713e-01   1.78536441e+02  -1.06638065e+01   7.14143095e+01
     4200  5.10963573e+00  1.20951855e-03   1.18265717e-03   1.55107319e-01   1.55107319e-01   1.76164553e-01   1.08326179e-03   4.65775358e-03   4.65972396e-01   4.65972396e-01   6.87496008e-01   4.61964972e-03   6.37921543e-15   1.25049119e-01   1.78536441e+02  -1.06638058e+01   7.14143230e+01
     4300  5.23060665e+00  1.20987837e-03   1.25375250e-03   1.56859388e-01   1.56859388e-01   1.80092130e-01   3.11873706e-03   5.06316092e-03   4.75156742e-01   4.75156742e-01   7.12853474e-01   1.01433487e-02   7.16080542e-15   1.25084004e-01   1.78536441e+02  -1.06638068e+01   7.14143090e+01
     4400  5.35155761e+00  1.20942807e-03   1.15014763e-03   1.60903505e-01   1.60903505e-01   1.80394868e-01   1.10184705e-03   4.41419839e-03   4.90482332e-01   4.90482332e-01   7.27388736e-01   3.66599607e-03   8.28657914e-15   1.25051533e-01   1.78536441e+02  -1.06638059e+01   7.14143220e+01
     4500  5.47255727e+00  1.21031238e-03   1.18348744e-03   1.63148923e-01   1.63148923e-01   1.83315888e-01   2.15216198e-03   4.54529183e-03   4.89855864e-01   4.89855864e-01   7.45788983e-01   7.40959955e-03   8.12148858e-15   1.25083048e-01   1.78536441e+02  -1.06638066e+01   7.14143094e+01
     4600  5.59361509e+00  1.21043123e-03   1.19429748e-03   1.66371009e-01   1.66371009e-01   1.84262087e-01   2.60315895e-03   4.59218375e-03   5.06945368e-01   5.06945368e-01   7.64413327e-01   7.06187913e-03   3.90829611e-15   1.25079824e-01   1.78536441e+02  -1.06638066e+01   7.14143107e+01
     4700  5.71468195e+00  1.21072284e-03   1.19008392e-03   1.69250762e-01   1.69250762e-01   1.85904380e-01   1.40084205e-03   4.24498358e-03   5.10592074e-01   5.10592074e-01   7.79879052e-01   4.87693996e-03   8.68917031e-15   1.25043281e-01   1.78536441e+02  -1.06638061e+01   7.14143253e+01
     4800  5.83577781e+00  1.21107342e-03   1.19159936e-03   1.71761323e-01   1.71761323e-01   1.87620207e-01   2.82554649e-03   5.00897199e-03   5.14690012e-01   5.14690012e-01   7.97163525e-01   7.86574831e-03   7.36716600e-15   1.25077814e-01   1.78536441e+02  -1.06638068e+01   7.14143115e+01
     4900  5.95682490e+00  1.21010330e-03   1.14749893e-03   1.75186616e-01   1.75186616e-01   1.87856857e-01   1.96584810e-03   4.75773138e-03   5.29974687e-01   5.29974687e-01   8.11563557e-01   7.46474071e-03   7.27198533e-15   1.25077083e-01   1.78536441e+02  -1.06638066e+01   7.14143118e+01
     5000  6.07780297e+00  1.20980756e-03   1.04560805e-03   1.77024854e-01   1.77024854e-01   1.90544325e-01   1.36610419e-03   4.48767920e-03   5.26206187e-01   5.26206187e-01   8.27852808e-01   4.49788260e-03   8.59019220e-15   1.25065361e-01   1.78536441e+02  -1.06638062e+01   7.14143165e+01
     5100  6.19872725e+00  1.20904559e-03   1.18605374e-03   1.80547718e-01   1.80547718e-01   1.89579903e-01   3.13773971e-03   5.06912927e-03   5.40207796e-01   5.40207796e-01   8.34807682e-01   1.01218453e-02   8.26675275e-15   1.25082428e-01   1.78536441e+02  -1.06638070e+01   7.14143096e+01
