#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_e         linf_rho         linf_rho_v1      linf_rho_e       dsdu_ut          e_kinetic        e_total          entropy          pressure      
   450600  2.19898140e+01  5.09268836e-05   9.41814184e-03   9.41814184e-04   4.70907089e-05   2.82135888e-02   2.82135888e-03   1.41066661e-04   8.32667268e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   450700  2.19948987e+01  5.07689339e-05   9.41936222e-03   9.41936222e-04   4.70968108e-05   2.82138531e-02   2.82138530e-03   1.41067978e-04  -1.47451495e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   450800  2.19999679e+01  5.06176977e-05   9.42055497e-03   9.42055496e-04   4.71027745e-05   2.81973562e-02   2.81973561e-03   1.40985496e-04   1.59594560e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   450900  2.20050223e+01  5.04731176e-05   9.42172170e-03   9.42172169e-04   4.71086086e-05   2.81643061e-02   2.81643060e-03   1.40820247e-04   5.27355937e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   451000  2.20100626e+01  5.03351379e-05   9.42286401e-03   9.42286401e-04   4.71143205e-05   2.81149152e-02   2.81149151e-03   1.40573291e-04  -7.11236625e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   451100  2.20150894e+01  5.02037044e-05   9.42398346e-03   9.42398346e-04   4.71199176e-05   2.80493997e-02   2.80493996e-03   1.40245710e-04   1.92554306e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   451200  2.20201034e+01  5.00787645e-05   9.42508156e-03   9.42508156e-04   4.71254081e-05   2.79679797e-02   2.79679796e-03   1.39838612e-04   2.30718222e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   451300  2.20251053e+01  4.99602674e-05   9.42615975e-03   9.42615974e-04   4.71307988e-05   2.78708786e-02   2.78708785e-03   1.39353106e-04   1.24900090e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   451400  2.20300956e+01  4.98481638e-05   9.42721939e-03   9.42721939e-04   4.71360967e-05   2.77583233e-02   2.77583232e-03   1.38790330e-04  -1.96023753e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   451500  2.20350750e+01  4.97424059e-05   9.42826179e-03   9.42826179e-04   4.71413089e-05   2.76305439e-02   2.76305438e-03   1.38151433e-04  -4.00721123e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   451600  2.20400442e+01  4.96429476e-05   9.42928814e-03   9.42928813e-04   4.71464406e-05   2.74877735e-02   2.74877734e-03   1.37437579e-04   4.16333634e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   451700  2.20450037e+01  4.95497443e-05   9.43029951e-03   9.43029951e-04   4.71514971e-05   2.73302482e-02   2.73302481e-03   1.36649955e-04   2.49800181e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   451800  2.20499542e+01  4.94627529e-05   9.43129691e-03   9.43129691e-04   4.71564845e-05   2.71582069e-02   2.71582068e-03   1.35789749e-04   5.03069808e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   451900  2.20548964e+01  4.93819319e-05   9.43228118e-03   9.43228118e-04   4.71614062e-05   2.69718915e-02   2.69718914e-03   1.34858170e-04  -1.92554306e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   452000  2.20598308e+01  4.93072414e-05   9.43325306e-03   9.43325306e-04   4.71662653e-05   2.67715462e-02   2.67715461e-03   1.33856443e-04   3.05311332e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   452100  2.20647580e+01  4.92386429e-05   9.43421316e-03   9.43421316e-04   4.71710661e-05   2.65574182e-02   2.65574181e-03   1.32785803e-04   1.09287579e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   452200  2.20696786e+01  4.91760993e-05   9.43516195e-03   9.43516194e-04   4.71758100e-05   2.63297572e-02   2.63297571e-03   1.31647499e-04   1.85615412e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   452300  2.20745933e+01  4.91195753e-05   9.43609973e-03   9.43609973e-04   4.71804987e-05   2.60888153e-02   2.60888153e-03   1.30442790e-04   4.47558657e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   452400  2.20795027e+01  4.90690368e-05   9.43702670e-03   9.43702670e-04   4.71851334e-05   2.58348476e-02   2.58348475e-03   1.29172948e-04   1.04083409e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   452500  2.20844073e+01  4.90244512e-05   9.43794286e-03   9.43794286e-04   4.71897140e-05   2.55681112e-02   2.55681111e-03   1.27839266e-04  -2.09901541e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   452600  2.20893077e+01  4.89857875e-05   9.43884810e-03   9.43884809e-04   4.71942401e-05   2.52888662e-02   2.52888661e-03   1.26443039e-04  -6.93889390e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   452700  2.20942046e+01  4.89530161e-05   9.43974210e-03   9.43974210e-04   4.71987104e-05   2.49973752e-02   2.49973751e-03   1.24985582e-04  -2.28983499e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   452800  2.20990985e+01  4.89261086e-05   9.44062444e-03   9.44062444e-04   4.72031222e-05   2.46939034e-02   2.46939033e-03   1.23468227e-04   4.18068358e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   452900  2.21039900e+01  4.89050384e-05   9.44149448e-03   9.44149448e-04   4.72074727e-05   2.43787185e-02   2.43787184e-03   1.21892303e-04  -1.63064007e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   453000  2.21088797e+01  4.88897799e-05   9.44235147e-03   9.44235146e-04   4.72117578e-05   2.40520912e-02   2.40520911e-03   1.20259167e-04   1.35308431e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   453100  2.21137681e+01  4.88803093e-05   9.44319445e-03   9.44319444e-04   4.72159724e-05   2.37600261e-02   2.37600260e-03   1.18801424e-04  -3.05311332e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   453200  2.21186559e+01  4.88766039e-05   9.44402232e-03   9.44402232e-04   4.72201116e-05   2.35882516e-02   2.35882515e-03   1.17942552e-04  -2.39391840e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   453300  2.21235436e+01  4.88786425e-05   9.44483383e-03   9.44483382e-04   4.72241691e-05   2.34085829e-02   2.34085829e-03   1.17044206e-04   3.22658567e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   453400  2.21284319e+01  4.88864052e-05   9.44562754e-03   9.44562753e-04   4.72281373e-05   2.32210766e-02   2.32210765e-03   1.16106679e-04   8.67361738e-18   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   453500  2.21333211e+01  4.88998735e-05   9.44640187e-03   9.44640186e-04   4.72320090e-05   2.30257890e-02   2.30257889e-03   1.15130243e-04  -2.27248775e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   453600  2.21382120e+01  4.89190304e-05   9.44715508e-03   9.44715507e-04   4.72357753e-05   2.28227766e-02   2.28227765e-03   1.14115178e-04   9.54097912e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   453700  2.21431051e+01  4.89438599e-05   9.44788527e-03   9.44788527e-04   4.72394264e-05   2.26120962e-02   2.26120961e-03   1.13061774e-04   1.73472348e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   453800  2.21480010e+01  4.89743476e-05   9.44859040e-03   9.44859040e-04   4.72429523e-05   2.23938048e-02   2.23938047e-03   1.11970318e-04   2.91433544e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   453900  2.21529002e+01  4.90104803e-05   9.44926828e-03   9.44926827e-04   4.72463415e-05   2.21679600e-02   2.21679599e-03   1.10841098e-04  -1.30104261e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   454000  2.21578033e+01  4.90522463e-05   9.44991657e-03   9.44991657e-04   4.72495829e-05   2.19346198e-02   2.19346197e-03   1.09674396e-04   1.14491749e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   454100  2.21627109e+01  4.90996349e-05   9.45053281e-03   9.45053280e-04   4.72526641e-05   2.16938429e-02   2.16938428e-03   1.08470510e-04   2.37657116e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   454200  2.21676235e+01  4.91526371e-05   9.45111439e-03   9.45111439e-04   4.72555717e-05   2.14456888e-02   2.14456887e-03   1.07229743e-04  -4.28476699e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   454300  2.21725417e+01  4.92112449e-05   9.45165860e-03   9.45165860e-04   4.72582927e-05   2.11902180e-02   2.11902179e-03   1.05952390e-04  -1.38777878e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   454400  2.21774660e+01  4.92754516e-05   9.45216261e-03   9.45216261e-04   4.72608131e-05   2.09274919e-02   2.09274919e-03   1.04638757e-04   9.45424294e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   454500  2.21823970e+01  4.93452520e-05   9.45262346e-03   9.45262346e-04   4.72631170e-05   2.06575734e-02   2.06575733e-03   1.03289163e-04  -2.34187669e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   454600  2.21873353e+01  4.94206420e-05   9.45303812e-03   9.45303812e-04   4.72651904e-05   2.04084606e-02   2.04084606e-03   1.02041004e-04  -3.12250226e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   454700  2.21922814e+01  4.95016189e-05   9.45340345e-03   9.45340345e-04   4.72670178e-05   2.03114116e-02   2.03114116e-03   1.01555762e-04   1.35308431e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   454800  2.21972359e+01  4.95881811e-05   9.45371624e-03   9.45371623e-04   4.72685815e-05   2.02101300e-02   2.02101300e-03   1.01049352e-04   5.63785130e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   454900  2.22021993e+01  4.96803286e-05   9.45397320e-03   9.45397319e-04   4.72698660e-05   2.01046335e-02   2.01046335e-03   1.00521869e-04  -1.40512602e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   455000  2.22071723e+01  4.97780623e-05   9.45417099e-03   9.45417099e-04   4.72708552e-05   1.99949390e-02   1.99949390e-03   9.99733974e-05   1.96023753e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   455100  2.22121552e+01  4.98813846e-05   9.45430624e-03   9.45430624e-04   4.72715311e-05   1.98810630e-02   1.98810630e-03   9.94040160e-05  -1.43982049e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   455200  2.22171488e+01  4.99902991e-05   9.45437551e-03   9.45437551e-04   4.72718771e-05   1.97630217e-02   1.97630217e-03   9.88138094e-05   1.90819582e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   455300  2.22221536e+01  5.01048108e-05   9.45437537e-03   9.45437536e-04   4.72718766e-05   1.96408307e-02   1.96408307e-03   9.82028544e-05   6.07153217e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   455400  2.22271701e+01  5.02249259e-05   9.45430236e-03   9.45430236e-04   4.72715117e-05   1.95145051e-02   1.95145050e-03   9.75712252e-05  -1.47451495e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   455500  2.22321989e+01  5.03506517e-05   9.45415306e-03   9.45415305e-04   4.72707654e-05   1.93840596e-02   1.93840595e-03   9.69189995e-05   2.48932819e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   455600  2.22372405e+01  5.04819971e-05   9.45392403e-03   9.45392403e-04   4.72696204e-05   1.92495085e-02   1.92495084e-03   9.62462440e-05  -3.94649591e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   455700  2.22422956e+01  5.06189721e-05   9.45361192e-03   9.45361192e-04   4.72680597e-05   1.91108657e-02   1.91108656e-03   9.55530284e-05   2.15105711e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   455800  2.22473647e+01  5.07615880e-05   9.45321340e-03   9.45321339e-04   4.72660670e-05   1.89681446e-02   1.89681446e-03   9.48394229e-05   3.71230824e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   455900  2.22524483e+01  5.09098574e-05   9.45272522e-03   9.45272522e-04   4.72636261e-05   1.88213584e-02   1.88213584e-03   9.41054918e-05  -1.56992475e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   456000  2.22575470e+01  5.10637943e-05   9.45214424e-03   9.45214424e-04   4.72607210e-05   1.88052062e-02   1.88052063e-03   9.40247316e-05   2.68882139e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   456100  2.22626614e+01  5.12234140e-05   9.45146741e-03   9.45146741e-04   4.72573369e-05   1.88274751e-02   1.88274751e-03   9.41360726e-05   1.63064007e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   456200  2.22677920e+01  5.13887330e-05   9.45069183e-03   9.45069183e-04   4.72534593e-05   1.88870595e-02   1.88870594e-03   9.44366001e-05  -2.17707796e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   456300  2.22729395e+01  5.15597692e-05   9.44981474e-03   9.44981474e-04   4.72490738e-05   1.90566654e-02   1.90566654e-03   9.52846319e-05   8.67361738e-18   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   456400  2.22781043e+01  5.17365419e-05   9.44883356e-03   9.44883356e-04   4.72441681e-05   1.92232900e-02   1.92232900e-03   9.61177552e-05  -1.18828558e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   456500  2.22832871e+01  5.19190718e-05   9.44774589e-03   9.44774589e-04   4.72387294e-05   1.93868826e-02   1.93868826e-03   9.69357144e-05  -2.87096735e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   456600  2.22884879e+01  5.20351934e-05   9.44654969e-03   9.44654969e-04   4.72327481e-05   1.95473738e-02   1.95473737e-03   9.77381689e-05   1.54390389e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   456700  2.22936769e+01  5.17475221e-05   9.44525099e-03   9.44525099e-04   4.72262549e-05   1.97038053e-02   1.97038053e-03   9.85203289e-05   4.14598911e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   456800  2.22988374e+01  5.14671735e-05   9.44385480e-03   9.44385480e-04   4.72192740e-05   1.98556918e-02   1.98556918e-03   9.92797615e-05  -2.94469310e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   456900  2.23039703e+01  5.11941083e-05   9.44236262e-03   9.44236262e-04   4.72118128e-05   2.00030864e-02   2.00030864e-03   1.00016734e-04   2.24213009e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   457000  2.23090762e+01  5.09282882e-05   9.44077620e-03   9.44077620e-04   4.72038810e-05   2.01460413e-02   2.01460412e-03   1.00731510e-04  -8.63024929e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   457100  2.23141559e+01  5.06696749e-05   9.43909753e-03   9.43909753e-04   4.71954876e-05   2.02846081e-02   2.02846080e-03   1.01424344e-04  -1.86916455e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   457200  2.23192101e+01  5.04182310e-05   9.43732886e-03   9.43732886e-04   4.71866443e-05   2.04188376e-02   2.04188376e-03   1.02095492e-04  -1.49186219e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   457300  2.23242395e+01  5.01739195e-05   9.43547266e-03   9.43547266e-04   4.71773636e-05   2.05487799e-02   2.05487799e-03   1.02745204e-04  -8.06646416e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   457400  2.23292449e+01  4.99367041e-05   9.43353164e-03   9.43353164e-04   4.71676584e-05   2.06744842e-02   2.06744842e-03   1.03373726e-04  -1.43114687e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   457500  2.23342269e+01  4.97065493e-05   9.43150871e-03   9.43150871e-04   4.71575433e-05   2.07959988e-02   2.07959987e-03   1.03981297e-04   2.90566182e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   457600  2.23391862e+01  4.94834201e-05   9.42940700e-03   9.42940700e-04   4.71470350e-05   2.09133710e-02   2.09133710e-03   1.04568159e-04   9.32413868e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   457700  2.23441236e+01  4.92672826e-05   9.42722983e-03   9.42722983e-04   4.71361493e-05   2.10266475e-02   2.10266475e-03   1.05134545e-04   1.73472348e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   457800  2.23490397e+01  4.90581034e-05   9.42498072e-03   9.42498072e-04   4.71249034e-05   2.11358737e-02   2.11358737e-03   1.05680678e-04   6.85215773e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   457900  2.23539352e+01  4.88558502e-05   9.42266335e-03   9.42266334e-04   4.71133168e-05   2.12410942e-02   2.12410942e-03   1.06206780e-04   0.00000000e+00   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   458000  2.23588109e+01  4.86604915e-05   9.42028157e-03   9.42028157e-04   4.71014079e-05   2.13423526e-02   2.13423526e-03   1.06713074e-04   6.44016090e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   458100  2.23636674e+01  4.84719968e-05   9.41783941e-03   9.41783941e-04   4.70891968e-05   2.14396914e-02   2.14396914e-03   1.07199769e-04  -4.32379826e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   458200  2.23685053e+01  4.82903363e-05   9.41534102e-03   9.41534102e-04   4.70767053e-05   2.15331521e-02   2.15331521e-03   1.07667070e-04  -1.94289029e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   458300  2.23733255e+01  4.81154817e-05   9.41279071e-03   9.41279070e-04   4.70639534e-05   2.16227752e-02   2.16227752e-03   1.08115183e-04  -1.08420217e-18   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   458400  2.23781285e+01  4.79474052e-05   9.41019289e-03   9.41019289e-04   4.70509643e-05   2.17086000e-02   2.17086000e-03   1.08544308e-04  -4.20453602e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   458500  2.23829150e+01  4.77860805e-05   9.40755212e-03   9.40755212e-04   4.70377607e-05   2.17906649e-02   2.17906649e-03   1.08954632e-04   1.12540186e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   458600  2.23876858e+01  4.76314821e-05   9.40487303e-03   9.40487303e-04   4.70243653e-05   2.18690071e-02   2.18690071e-03   1.09346342e-04  -4.87890978e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   458700  2.23924414e+01  4.74835858e-05   9.40216039e-03   9.40216039e-04   4.70108019e-05   2.19436625e-02   2.19436625e-03   1.09719622e-04  -2.37440276e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   458800  2.23971826e+01  4.73423687e-05   9.39941902e-03   9.39941902e-04   4.69970953e-05   2.20146663e-02   2.20146663e-03   1.10074642e-04  -4.87890978e-18   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   458900  2.24019099e+01  4.72078086e-05   9.39665383e-03   9.39665383e-04   4.69832692e-05   2.20820521e-02   2.20820521e-03   1.10411569e-04   2.12828886e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   459000  2.24066242e+01  4.70798851e-05   9.39386981e-03   9.39386981e-04   4.69693488e-05   2.21458528e-02   2.21458527e-03   1.10730573e-04   2.05835782e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   459100  2.24113260e+01  4.69585785e-05   9.39107199e-03   9.39107199e-04   4.69553599e-05   2.22060997e-02   2.22060997e-03   1.11031809e-04   4.31935981e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   459200  2.24160160e+01  4.68438709e-05   9.38826545e-03   9.38826545e-04   4.69413272e-05   2.22628233e-02   2.22628233e-03   1.11315427e-04  -5.46654735e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   459300  2.24206949e+01  4.67357452e-05   9.38545532e-03   9.38545532e-04   4.69272765e-05   2.23160528e-02   2.23160527e-03   1.11581574e-04  -8.10983225e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   459400  2.24253633e+01  4.66341860e-05   9.38264676e-03   9.38264676e-04   4.69132338e-05   2.23658161e-02   2.23658161e-03   1.11830392e-04  -7.04731412e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   459500  2.24300219e+01  4.65391788e-05   9.37984494e-03   9.37984493e-04   4.68992248e-05   2.24121403e-02   2.24121402e-03   1.12062015e-04   3.42499466e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   459600  2.24346713e+01  4.64507109e-05   9.37705504e-03   9.37705504e-04   4.68852755e-05   2.24550508e-02   2.24550508e-03   1.12276568e-04  -2.26056153e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   459700  2.24393121e+01  4.63687707e-05   9.37428226e-03   9.37428225e-04   4.68714115e-05   2.24945723e-02   2.24945723e-03   1.12474174e-04   1.16985414e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   459800  2.24439451e+01  4.62933481e-05   9.37153177e-03   9.37153177e-04   4.68576588e-05   2.25307280e-02   2.25307280e-03   1.12654953e-04  -3.55835153e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   459900  2.24485709e+01  4.62244342e-05   9.36880875e-03   9.36880875e-04   4.68440436e-05   2.25635400e-02   2.25635400e-03   1.12819012e-04  -1.06251813e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   460000  2.24531902e+01  4.61620217e-05   9.36611833e-03   9.36611833e-04   4.68305915e-05   2.25930292e-02   2.25930292e-03   1.12966458e-04   1.80411242e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   460100  2.24578035e+01  4.61061047e-05   9.36346564e-03   9.36346563e-04   4.68173279e-05   2.26192154e-02   2.26192154e-03   1.13097389e-04  -1.30104261e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   460200  2.24624116e+01  4.60566788e-05   9.36085572e-03   9.36085572e-04   4.68042784e-05   2.26421169e-02   2.26421169e-03   1.13211897e-04  -9.49761103e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   460300  2.24670150e+01  4.60137409e-05   9.35829362e-03   9.35829361e-04   4.67914680e-05   2.26617513e-02   2.26617512e-03   1.13310069e-04   3.66677175e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   460400  2.24716145e+01  4.59772894e-05   9.35578427e-03   9.35578427e-04   4.67789214e-05   2.26781344e-02   2.26781344e-03   1.13391984e-04  -4.80735243e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   460500  2.24762107e+01  4.59473242e-05   9.35333259e-03   9.35333258e-04   4.67666630e-05   2.26912813e-02   2.26912813e-03   1.13457720e-04  -4.64255370e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   460600  2.24808042e+01  4.59238468e-05   9.35094337e-03   9.35094337e-04   4.67547167e-05   2.27012056e-02   2.27012056e-03   1.13507344e-04  -2.85795693e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   460700  2.24853956e+01  4.59068601e-05   9.34862136e-03   9.34862135e-04   4.67431070e-05   2.27079198e-02   2.27079198e-03   1.13540915e-04  -1.63497688e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   460800  2.24899857e+01  4.58963683e-05   9.34637118e-03   9.34637118e-04   4.67318561e-05   2.27114351e-02   2.27114351e-03   1.13558491e-04   3.55618313e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   460900  2.24945751e+01  4.58923774e-05   9.34419738e-03   9.34419738e-04   4.67209868e-05   2.27117618e-02   2.27117617e-03   1.13560124e-04   1.60895602e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   461000  2.24991644e+01  4.58948948e-05   9.34210439e-03   9.34210439e-04   4.67105218e-05   2.27089085e-02   2.27089084e-03   1.13545857e-04   2.48065457e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   461100  2.25037543e+01  4.59039294e-05   9.34009650e-03   9.34009650e-04   4.67004825e-05   2.27028829e-02   2.27028829e-03   1.13515729e-04   1.30104261e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   461200  2.25083454e+01  4.59194916e-05   9.33817789e-03   9.33817789e-04   4.66908894e-05   2.26936915e-02   2.26936915e-03   1.13469773e-04  -1.31405303e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   461300  2.25129384e+01  4.59415932e-05   9.33635261e-03   9.33635261e-04   4.66817631e-05   2.26813395e-02   2.26813395e-03   1.13408014e-04  -7.28583860e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   461400  2.25175340e+01  4.59702479e-05   9.33462454e-03   9.33462454e-04   4.66731228e-05   2.26658310e-02   2.26658309e-03   1.13330473e-04  -2.81892565e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   461500  2.25221327e+01  4.60054705e-05   9.33299744e-03   9.33299744e-04   4.66649874e-05   2.26471686e-02   2.26471685e-03   1.13237160e-04   4.55798593e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   461600  2.25267353e+01  4.60472774e-05   9.33147487e-03   9.33147487e-04   4.66573745e-05   2.27020231e-02   2.27020231e-03   1.13511438e-04   6.33174069e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   461700  2.25313425e+01  4.60956867e-05   9.33006024e-03   9.33006023e-04   4.66503011e-05   2.27925534e-02   2.27925534e-03   1.13964084e-04  -2.81025203e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
   461800  2.25359548e+01  4.61507179e-05   9.32875677e-03   9.32875676e-04   4.66437836e-05   2.28804031e-02   2.28804030e-03   1.14403332e-04   2.11636264e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
