#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_theta     linf_rho         linf_rho_v1      linf_rho_theta   dsdu_ut          energy_kinetic   entropy          entropy_phys     pressurecompute
     3500  1.47645302e-01  4.43427426e-05   5.76986345e-04   5.76986345e-05   4.84057252e-16   4.00789286e-03   4.00789286e-04   2.55351296e-15  -1.73472348e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     3600  1.52091003e-01  4.45705715e-05   5.93397605e-04   5.93397605e-05   5.16228821e-16   4.12758177e-03   4.12758177e-04   3.88578059e-15  -6.67868538e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     3700  1.56559965e-01  4.48078775e-05   6.09836281e-04   6.09836281e-05   6.61842798e-16   4.24704057e-03   4.24704057e-04   3.99680289e-15   1.38777878e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     3800  1.61053140e-01  4.50547805e-05   6.26300044e-04   6.26300044e-05   7.92605461e-16   4.36621132e-03   4.36621132e-04   5.32907052e-15  -3.55618313e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     3900  1.65571496e-01  4.53114039e-05   6.42786417e-04   6.42786417e-05   8.27459333e-16   4.48503332e-03   4.48503332e-04   4.10782519e-15  -4.33680869e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     4000  1.70116011e-01  4.55778743e-05   6.59292766e-04   6.59292766e-05   7.79501162e-16   4.60344300e-03   4.60344300e-04   3.21964677e-15  -5.29090660e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     4100  1.74687675e-01  4.58543215e-05   6.75816284e-04   6.75816284e-05   9.28831565e-16   4.72137371e-03   4.72137371e-04   5.66213743e-15   4.42354486e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     4200  1.79287494e-01  4.61408784e-05   6.92353984e-04   6.92353984e-05   1.00076234e-15   4.83875553e-03   4.83875553e-04   5.99520433e-15  -9.54097912e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     4300  1.83916484e-01  4.64376810e-05   7.08902693e-04   7.08902693e-05   1.22621533e-15   4.95551512e-03   4.95551512e-04   7.99360578e-15   9.54097912e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     4400  1.88575678e-01  4.67448685e-05   7.25459043e-04   7.25459043e-05   1.12063116e-15   5.07157549e-03   5.07157549e-04   5.55111512e-15  -1.52655666e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     4500  1.93266121e-01  4.70625827e-05   7.42019471e-04   7.42019471e-05   1.06126718e-15   5.18685580e-03   5.18685580e-04   5.66213743e-15   3.72965547e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     4600  1.97982039e-01  4.71175884e-05   7.58556334e-04   7.58556334e-05   7.76187017e-16   5.30110683e-03   5.30110683e-04   5.66213743e-15  -1.73472348e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     4700  2.02682567e-01  4.68963510e-05   7.74920743e-04   7.74920743e-05   7.48769213e-16   5.41325465e-03   5.41325465e-04   4.32986980e-15   9.54097912e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     4800  2.07361325e-01  4.66821161e-05   7.91086810e-04   7.91086810e-05   4.79016324e-16   5.52309000e-03   5.52309000e-04   2.10942375e-15  -1.70002901e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     4900  2.12019011e-01  4.64748315e-05   8.07053724e-04   8.07053724e-05   6.39818074e-16   5.63057777e-03   5.63057777e-04   2.88657986e-15  -4.33680869e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     5000  2.16656317e-01  4.62744466e-05   8.22820828e-04   8.22820828e-05   7.50288983e-16   5.73568402e-03   5.73568402e-04   5.99520433e-15  -4.33680869e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     5100  2.21273932e-01  4.60809124e-05   8.38387628e-04   8.38387628e-05   7.52814129e-16   5.83837586e-03   5.83837586e-04   5.99520433e-15  -3.64291930e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     5200  2.25872536e-01  4.58941816e-05   8.53753791e-04   8.53753791e-05   6.84780729e-16   5.93862140e-03   5.93862140e-04   4.44089210e-15  -5.20417043e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     5300  2.30452810e-01  4.57142082e-05   8.68919151e-04   8.68919151e-05   6.57831492e-16   6.03638964e-03   6.03638964e-04   3.33066907e-15   8.93382590e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     5400  2.35015425e-01  4.55409481e-05   8.83883715e-04   8.83883715e-05   6.95908082e-16   6.13165037e-03   6.13165037e-04   2.44249065e-15  -9.19403442e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     5500  2.39561052e-01  4.53743588e-05   8.98647662e-04   8.98647662e-05   7.56722894e-16   6.22437412e-03   6.22437412e-04   4.21884749e-15  -2.77555756e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     5600  2.44090355e-01  4.52143993e-05   9.13211351e-04   9.13211351e-05   7.88707855e-16   6.31453206e-03   6.31453206e-04   2.77555756e-15   8.50014503e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     5700  2.48603995e-01  4.50610302e-05   9.27575322e-04   9.27575322e-05   1.14280126e-15   6.40209591e-03   6.40209590e-04   5.66213743e-15  -6.41847686e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     5800  2.53102629e-01  4.49142139e-05   9.41740299e-04   9.41740299e-05   1.06371787e-15   6.48703788e-03   6.48703788e-04   3.21964677e-15   2.38524478e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     5900  2.57586911e-01  4.47739143e-05   9.55707199e-04   9.55707199e-05   1.18265923e-15   6.56933063e-03   6.56933063e-04   6.99440506e-15   2.68882139e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     6000  2.62057491e-01  4.46400971e-05   9.69477129e-04   9.69477129e-05   1.11978677e-15   6.64894712e-03   6.64894712e-04   6.99440506e-15   1.02348685e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     6100  2.66515015e-01  4.45127294e-05   9.83051392e-04   9.83051392e-05   1.10446486e-15   6.72586062e-03   6.72586062e-04   6.99440506e-15  -4.16333634e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     6200  2.70960127e-01  4.43917801e-05   9.96431492e-04   9.96431492e-05   1.07904438e-15   6.80004460e-03   6.80004460e-04   6.99440506e-15   1.38777878e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
